model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
tiny,common_voice_it_23606167.mp3,5.538,4.722,0.6819665431976318,0.5454545454545454,0.7933884297520661,0.20661157024793386,0.5454545454545454
tiny,common_voice_it_40457039.mp3,6.084,5.684,0.43207287788391113,0.6,0.75,0.25,0.5454545454545454
tiny,common_voice_it_40283173.mp3,5.58,5.468,0.39481043815612793,0.18181818181818182,0.3305785123966941,0.6694214876033059,0.18181818181818182
tiny,common_voice_it_20045040.mp3,7.776,7.568,0.40668439865112305,0.75,0.8511904761904762,0.1488095238095238,0.6428571428571429
tiny,common_voice_it_26970935.mp3,4.536,4.328,0.3558831214904785,0.5555555555555556,0.8024691358024691,0.19753086419753085,0.5555555555555556
tiny,common_voice_it_17544185.mp3,3.168,2.64,0.295867919921875,1.0,1.0,0.0,1.0
tiny,common_voice_it_20042813.mp3,6.648,6.024,0.44469714164733887,0.5384615384615384,0.7869822485207101,0.21301775147928997,0.5384615384615384
tiny,common_voice_it_21916542.mp3,3.576,2.696,0.682736873626709,1.0,1.0,0.0,1.0
tiny,common_voice_it_20268831.mp3,5.76,5.232,0.35290050506591797,0.125,0.234375,0.765625,0.125
tiny,common_voice_it_20069601.mp3,5.616,5.408,1.5958507061004639,0.6363636363636364,0.8106060606060606,0.1893939393939394,0.5833333333333334
tiny,common_voice_it_20001185.mp3,9.96,5.28,0.4197690486907959,0.23076923076923078,0.3589743589743589,0.6410256410256411,0.23076923076923078
tiny,common_voice_it_19997999.mp3,2.592,2.096,0.3478546142578125,0.5,0.75,0.25,0.5
tiny,common_voice_it_40258742.mp3,3.42,3.18,0.3240654468536377,0.0,0.0,1.0,0.0
tiny,common_voice_it_20033266.mp3,6.552,6.184,0.44294142723083496,0.7857142857142857,0.8392857142857143,0.1607142857142857,0.6470588235294118
tiny,common_voice_it_40677466.mp3,6.264,5.992,0.40119481086730957,0.6923076923076923,0.8153846153846154,0.18461538461538463,0.6
tiny,common_voice_it_20268098.mp3,9.888,8.048,0.41193294525146484,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333
tiny,common_voice_it_19987982.mp3,7.584,0.0,0.09022355079650879,1.0,1,0,1.0
tiny,common_voice_it_20228693.mp3,9.528,5.896,0.4100520610809326,0.3,0.4555555555555556,0.5444444444444444,0.3
tiny,common_voice_it_20058011.mp3,7.584,5.2,0.40227532386779785,0.2727272727272727,0.47107438016528924,0.5289256198347108,0.2727272727272727
tiny,common_voice_it_21976479.mp3,2.4,1.968,0.2993009090423584,1.5,1.0,0.0,1.0
tiny,common_voice_it_20252212.mp3,6.384,6.384,0.40952396392822266,0.7272727272727273,0.8787878787878788,0.12121212121212122,0.6666666666666666
tiny,common_voice_it_20042178.mp3,7.704,6.536,0.49073362350463867,0.3076923076923077,0.4505494505494505,0.5494505494505495,0.2857142857142857
tiny,common_voice_it_20275659.mp3,3.648,3.376,0.3210747241973877,0.25,0.4375,0.5625,0.25
tiny,common_voice_it_18370587.mp3,7.032,6.184,0.4522223472595215,0.5454545454545454,0.6573426573426573,0.34265734265734266,0.46153846153846156
tiny,common_voice_it_20307472.mp3,8.712,5.824,0.46462059020996094,0.7,0.7916666666666666,0.20833333333333334,0.5833333333333334
tiny,common_voice_it_17642442.mp3,6.216,5.624,0.39313364028930664,0.2857142857142857,0.38265306122448983,0.6173469387755102,0.26666666666666666
tiny,common_voice_it_19980855.mp3,4.2,4.2,1.581697702407837,0.7,0.9,0.09999999999999999,0.7
tiny,common_voice_it_31467945.mp3,6.156,5.5,2.079957962036133,0.46153846153846156,0.6230769230769231,0.37692307692307686,0.46153846153846156
