model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
tiny,audio.mp3,32.576,30.32,1.24025559425354,0.4444444444444444,0.5877616747181965,0.4122383252818035,0.42857142857142855
tiny,audio2.mp3,9.1306875,8.0906875,0.43723607063293457,0.6666666666666666,0.7277777777777777,0.27222222222222225,0.5333333333333333
base,audio.mp3,32.576,30.32,1.833021640777588,0.24074074074074073,0.4235253772290809,0.5764746227709191,0.24074074074074073
base,audio2.mp3,9.1306875,8.0906875,0.6953737735748291,0.6666666666666666,0.7857142857142857,0.21428571428571427,0.5714285714285714
small,audio.mp3,32.576,30.32,4.97161340713501,0.14814814814814814,0.1836419753086419,0.8163580246913581,0.14814814814814814
small,audio2.mp3,9.1306875,8.0906875,1.9222509860992432,0.5833333333333334,0.578125,0.421875,0.4375
medium,audio.mp3,32.576,30.32,13.527618885040283,0.0,0.0,1.0,0.0
medium,audio2.mp3,9.1306875,8.0906875,4.83515739440918,0.16666666666666666,0.22435897435897445,0.7756410256410255,0.15384615384615385
large-v3,audio.mp3,32.576,30.32,21.981983423233032,0.0,0.0,1.0,0.0
large-v3,audio2.mp3,9.1306875,8.0906875,8.55977201461792,0.16666666666666666,0.22435897435897445,0.7756410256410255,0.15384615384615385
